rating,item_id,user_id,timestamp
3,781,13,882399528
3,471,251,886272319
3,42,162,877636675
1,451,13,882141872
4,755,416,893214333
3,707,95,880572009
4,1149,650,891383856
4,657,271,885848559
5,153,144,888105823
4,1119,94,891723261
4,490,881,876538763
4,405,226,883889507
5,11,200,884129542
5,952,595,886921424
2,109,325,891478528
5,1070,239,889179032
2,385,194,879524643
3,364,276,877935377
4,258,199,883782403
4,1119,721,877147795
2,930,268,875742942
5,483,305,886323068
3,692,297,875239018
5,199,90,891384423
1,675,167,892738277
3,166,308,887737837
4,1101,406,879445771
5,269,286,879780839
5,354,119,890626231
5,64,128,879966954
3,655,748,879454879
3,239,299,878192601
4,181,298,884125629
4,210,921,884673633
3,172,194,879521474
5,736,247,893097024
3,531,455,879111291
4,464,498,881958471
3,673,244,880606667
4,393,193,889126808
5,727,94,891722458
4,707,244,880606243
4,657,346,875260577
2,274,194,879539794
3,612,234,892079140
3,566,830,891561937
1,138,62,879376709
3,31,41,890687473
4,260,145,875269871
4,289,173,877556988
4,510,263,891298392
3,60,308,887737760
3,237,159,880485766
3,729,42,881108345
4,1011,158,880132579
2,82,246,884921986
4,17,291,874834850
5,432,123,879873120
4,421,303,879466966
3,161,193,889125912
3,66,393,889554707
3,147,67,875379357
4,153,615,879449130
4,1009,859,885775277
4,736,297,875239975
5,866,141,884585071
2,743,11,891904065
5,483,253,891628122
3,55,343,876405129
3,892,95,882803890
3,919,201,884141208
4,750,100,891375016
4,136,566,881649621
3,81,234,892334680
3,672,21,874951727
4,50,422,875129911
3,665,92,875906853
